signal_type_id,signal_type_name,description,status
hiring_growth,Рост найма,Увеличение вакансий или активности найма,active
hiring_slowdown,Замедление найма,Снижение вакансий или более слабый спрос,active
hiring_freeze,Заморозка найма,Сообщения о полной или частичной остановке найма,active
layoff_wave,Волна сокращений,Массовые увольнения или оптимизация,active
salary_growth,Рост зарплат,Рост медианных или средних зарплат,active
salary_pressure,Давление на ФОТ,Рост затрат работодателей на оплату труда,active
salary_stabilization,Стабилизация зарплат,Замедление роста зарплат или плато,active
talent_shortage,Дефицит кадров,Нехватка работников в сегменте или регионе,active
skill_shift,Сдвиг спроса на навыки,Рост спроса на новые компетенции,active
macro_shift,Макросдвиг,Изменение инфляции ставки безработицы или деловой активности,active
company_expansion,Расширение компании,Новые площадки центры команды или проекты,active
company_restructuring,Реструктуризация,Изменение структуры функций бизнеса и занятости,active
weak_signal,Слабый сигнал,Неподтвержденный ранний индикатор,active
